CVE,V_CLASSIFICATION,VULNERABILITY_URL,P_COMMIT,FilePath,BeginLine,EndLine,Patched,Occurrence,Affected
CVE-2013-4332,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=15856,55e17aadc1ef17a1df9626fb0e9fba290ece3331,locale/findlocale.c,\N,\N,1,after,0
CVE-2013-4332,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=15856,55e17aadc1ef17a1df9626fb0e9fba290ece3331,locale/findlocale.c,\N,\N,1,after,0
CVE-2013-4332,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=15856,1159a193696ad48ec86e5895f6dee3e539619c0e,posix/spawn_faction_addopen.c,\N,\N,1,after,0
CVE-2013-4332,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=15856,b73ed247781d533628b681f57257dc85882645d3,sysdeps/posix/getaddrinfo.c,1578,1587,0,after,0
CVE-2013-4332,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=15856,b73ed247781d533628b681f57257dc85882645d3,sysdeps/posix/getaddrinfo.c,1896,1905,0,after,0
CVE-2013-4332,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=15856,b73ed247781d533628b681f57257dc85882645d3,sysdeps/posix/getaddrinfo.c,1908,1917,0,after,0
CVE-2013-4332,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=15856,b73ed247781d533628b681f57257dc85882645d3,sysdeps/posix/getaddrinfo.c,1948,2311,0,after,0
CVE-2013-4332,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=15856,b73ed247781d533628b681f57257dc85882645d3,sysdeps/posix/getaddrinfo.c,2314,2321,0,after,0
CVE-2013-4332,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=15856,b73ed247781d533628b681f57257dc85882645d3,sysdeps/posix/getaddrinfo.c,269,1318,1,after,0
CVE-2013-4332,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=15856,b73ed247781d533628b681f57257dc85882645d3,sysdeps/posix/getaddrinfo.c,150,183,0,after,0
CVE-2013-4332,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=15856,b73ed247781d533628b681f57257dc85882645d3,sysdeps/posix/getaddrinfo.c,1561,1566,0,after,0
CVE-2013-4332,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=15856,b73ed247781d533628b681f57257dc85882645d3,sysdeps/posix/getaddrinfo.c,1569,1574,0,after,0
CVE-2013-4332,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=15856,b73ed247781d533628b681f57257dc85882645d3,sysdeps/posix/getaddrinfo.c,1375,1417,0,after,0
CVE-2013-4332,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=15856,b73ed247781d533628b681f57257dc85882645d3,sysdeps/posix/getaddrinfo.c,2324,2634,0,after,0
CVE-2013-4332,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=15856,b73ed247781d533628b681f57257dc85882645d3,sysdeps/posix/getaddrinfo.c,1832,1839,0,after,0
CVE-2013-4332,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=15856,b73ed247781d533628b681f57257dc85882645d3,sysdeps/posix/getaddrinfo.c,1857,1879,0,after,0
CVE-2014-9402,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=17630,ac8060265bcaca61568ef3a20b9a0140a270af54,math/s_nanf.c,196,32,0,after,0
CVE-2014-9402,>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=17630,ac8060265bcaca61568ef3a20b9a0140a270af54,math/s_nanl.c,196,32,0,after,0
CVE-2015-1781,>Overflow<>Execute code<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=18287,2959eda9272a033863c271aff62095abd01bd4e3,stdio-common/vfprintf.c,2151,2181,0,after,0
CVE-2015-1781,>Overflow<>Execute code<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=18287,2959eda9272a033863c271aff62095abd01bd4e3,stdio-common/vfprintf.c,\N,\N,2,after,0
CVE-2015-1781,>Overflow<>Execute code<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=18287,2959eda9272a033863c271aff62095abd01bd4e3,stdio-common/vfprintf.c,2016,2064,0,after,0
CVE-2015-5180,>Memory Corruption<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=18784,fc82b0a2dfe7dbd35671c10510a8da1043d746a5,stdio-common/vfscanf.c,203,2929,1,after,0
CVE-2015-8778,>Overflow<>Execute code<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=18240,bae7c7c764413b23e61cb099ce33be4c4ee259bb,misc/mntent_r.c,\N,\N,2,after,0
CVE-2016-10228,>Input validation<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19519,9a99c682144bdbd40792ebf822fe9264e0376fb5,support/blob_repeat.c,129,247,0,after,0
CVE-2016-10228,>Input validation<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19519,9a99c682144bdbd40792ebf822fe9264e0376fb5,support/blob_repeat.c,89,103,0,after,0
CVE-2016-10228,>Input validation<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19519,9a99c682144bdbd40792ebf822fe9264e0376fb5,support/blob_repeat.c,52,85,0,after,0
CVE-2016-10228,>Input validation<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19519,9a99c682144bdbd40792ebf822fe9264e0376fb5,support/blob_repeat.c,108,125,0,after,0
CVE-2016-10228,>Input validation<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19519,9a99c682144bdbd40792ebf822fe9264e0376fb5,support/blob_repeat.c,249,263,0,after,0
CVE-2016-10228,>Input validation<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19519,9a99c682144bdbd40792ebf822fe9264e0376fb5,support/blob_repeat.c,265,278,0,after,0
CVE-2016-10739,>Input validation<,https://sourceware.org/bugzilla/show_bug.cgi?id=20018,108bc4049f8ae82710aec26a92ffdb4b439c83fd,sunrpc/clnt_udp.c,118,205,0,after,0
CVE-2016-1234,>Overflow<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19779,5171f3079f2cc53e0548fc4967361f4d1ce9d7ea,nscd/connections.c,1817,1854,0,after,0
CVE-2016-1234,>Overflow<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19779,5171f3079f2cc53e0548fc4967361f4d1ce9d7ea,nscd/connections.c,249,295,0,after,0
CVE-2016-1234,>Overflow<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19779,5171f3079f2cc53e0548fc4967361f4d1ce9d7ea,nscd/connections.c,805,809,0,after,0
CVE-2016-1234,>Overflow<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19779,5171f3079f2cc53e0548fc4967361f4d1ce9d7ea,nscd/connections.c,1460,1507,0,after,0
CVE-2016-1234,>Overflow<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19779,5171f3079f2cc53e0548fc4967361f4d1ce9d7ea,nscd/connections.c,1859,1881,0,after,0
CVE-2016-1234,>Overflow<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19779,5171f3079f2cc53e0548fc4967361f4d1ce9d7ea,nscd/connections.c,882,1107,0,after,0
CVE-2016-1234,>Overflow<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19779,5171f3079f2cc53e0548fc4967361f4d1ce9d7ea,nscd/connections.c,812,833,0,after,0
CVE-2016-1234,>Overflow<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19779,5171f3079f2cc53e0548fc4967361f4d1ce9d7ea,nscd/connections.c,1523,1630,1,after,0
CVE-2016-1234,>Overflow<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19779,5171f3079f2cc53e0548fc4967361f4d1ce9d7ea,nscd/connections.c,430,801,0,after,0
CVE-2016-1234,>Overflow<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19779,5171f3079f2cc53e0548fc4967361f4d1ce9d7ea,nscd/connections.c,1270,1455,0,after,0
CVE-2016-1234,>Overflow<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19779,5171f3079f2cc53e0548fc4967361f4d1ce9d7ea,nscd/connections.c,1111,1241,0,after,0
CVE-2016-1234,>Overflow<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19779,5171f3079f2cc53e0548fc4967361f4d1ce9d7ea,nscd/connections.c,1511,1516,0,after,0
CVE-2016-1234,>Overflow<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19779,5171f3079f2cc53e0548fc4967361f4d1ce9d7ea,nscd/connections.c,1728,1811,0,after,0
CVE-2016-1234,>Overflow<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19779,5171f3079f2cc53e0548fc4967361f4d1ce9d7ea,nscd/connections.c,299,426,0,after,0
CVE-2016-3075,>Overflow<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19879,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,stdio-common/vfprintf.c,2116,2146,0,after,0
CVE-2016-3075,>Overflow<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19879,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,stdio-common/printf_fp.c,\N,\N,2,after,0
CVE-2016-3075,>Overflow<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=19879,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,stdio-common/vfprintf.c,\N,\N,2,after,0
CVE-2016-3706,>Overflow<>Input validation<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=20010,4ab2ab03d4351914ee53248dc5aef4a8c88ff8b9,intl/dcigettext.c,\N,\N,2,after,0
CVE-2016-3706,>Overflow<>Input validation<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=20010,4ab2ab03d4351914ee53248dc5aef4a8c88ff8b9,intl/dcigettext.c,\N,\N,2,after,0
CVE-2016-3706,>Overflow<>Input validation<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=20010,4ab2ab03d4351914ee53248dc5aef4a8c88ff8b9,grp/initgroups.c,142,172,0,after,0
CVE-2016-4429,>Overflow<>Memory Corruption<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=20112,bc779a1a5b3035133024b21e2f339fe4219fb11c,stdio-common/printf_fphex.c,92,493,1,after,0
CVE-2016-4429,>Overflow<>Memory Corruption<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=20112,bc779a1a5b3035133024b21e2f339fe4219fb11c,grp/initgroups.c,142,166,1,after,0
CVE-2016-4429,>Overflow<>Memory Corruption<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=20112,bc779a1a5b3035133024b21e2f339fe4219fb11c,grp/initgroups.c,\N,\N,2,after,0
CVE-2016-4429,>Overflow<>Memory Corruption<>Denial of service<,https://sourceware.org/bugzilla/show_bug.cgi?id=20112,bc779a1a5b3035133024b21e2f339fe4219fb11c,grp/initgroups.c,168,216,0,after,0
CVE-2017-12132,Undefined,https://sourceware.org/bugzilla/show_bug.cgi?id=21361,e14a27723cc3a154d67f3f26e719d08c0ba9ad25,malloc/malloc.c,\N,\N,2,after,0
CVE-2017-12132,Undefined,https://sourceware.org/bugzilla/show_bug.cgi?id=21361,e14a27723cc3a154d67f3f26e719d08c0ba9ad25,malloc/malloc.c,\N,\N,2,after,0
CVE-2017-12132,Undefined,https://sourceware.org/bugzilla/show_bug.cgi?id=21361,e14a27723cc3a154d67f3f26e719d08c0ba9ad25,malloc/malloc.c,2839,2867,0,after,0
CVE-2017-12132,Undefined,https://sourceware.org/bugzilla/show_bug.cgi?id=21361,e14a27723cc3a154d67f3f26e719d08c0ba9ad25,malloc/malloc.c,\N,\N,2,after,0
CVE-2017-12132,Undefined,https://sourceware.org/bugzilla/show_bug.cgi?id=21361,e14a27723cc3a154d67f3f26e719d08c0ba9ad25,malloc/malloc.c,\N,\N,2,after,0
CVE-2017-12132,Undefined,https://sourceware.org/bugzilla/show_bug.cgi?id=21361,e14a27723cc3a154d67f3f26e719d08c0ba9ad25,malloc/malloc.c,\N,\N,2,after,0
CVE-2017-12132,Undefined,https://sourceware.org/bugzilla/show_bug.cgi?id=21361,e14a27723cc3a154d67f3f26e719d08c0ba9ad25,malloc/malloc.c,\N,\N,2,after,0
CVE-2017-12132,Undefined,https://sourceware.org/bugzilla/show_bug.cgi?id=21361,e14a27723cc3a154d67f3f26e719d08c0ba9ad25,malloc/malloc.c,\N,\N,2,after,0
CVE-2017-12132,Undefined,https://sourceware.org/bugzilla/show_bug.cgi?id=21361,e14a27723cc3a154d67f3f26e719d08c0ba9ad25,malloc/malloc.c,4926,4953,0,after,0
CVE-2017-12132,Undefined,https://sourceware.org/bugzilla/show_bug.cgi?id=21361,e14a27723cc3a154d67f3f26e719d08c0ba9ad25,malloc/malloc.c,\N,\N,2,after,0
CVE-2017-12132,Undefined,https://sourceware.org/bugzilla/show_bug.cgi?id=21361,e14a27723cc3a154d67f3f26e719d08c0ba9ad25,malloc/malloc.c,\N,\N,2,after,0
CVE-2017-12132,Undefined,https://sourceware.org/bugzilla/show_bug.cgi?id=21361,e14a27723cc3a154d67f3f26e719d08c0ba9ad25,malloc/malloc.c,\N,\N,2,after,0
CVE-2017-12133,>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=21115,d42eed4a044e5e10dfb885cf9891c2518a72a491,stdio-common/vfscanf.c,203,2929,1,after,0
CVE-2017-15670,>Overflow<,https://sourceware.org/bugzilla/show_bug.cgi?id=22320,c369d66e5426a30e4725b100d5cd28e372754f90,nscd/netgroupcache.c,655,662,0,after,0
CVE-2017-15670,>Overflow<,https://sourceware.org/bugzilla/show_bug.cgi?id=22320,c369d66e5426a30e4725b100d5cd28e372754f90,nscd/netgroupcache.c,118,478,1,after,0
CVE-2017-15670,>Overflow<,https://sourceware.org/bugzilla/show_bug.cgi?id=22320,c369d66e5426a30e4725b100d5cd28e372754f90,nscd/netgroupcache.c,681,686,0,after,0
CVE-2017-15670,>Overflow<,https://sourceware.org/bugzilla/show_bug.cgi?id=22320,c369d66e5426a30e4725b100d5cd28e372754f90,nscd/netgroupcache.c,481,652,0,after,0
CVE-2017-15670,>Overflow<,https://sourceware.org/bugzilla/show_bug.cgi?id=22320,c369d66e5426a30e4725b100d5cd28e372754f90,nscd/netgroupcache.c,73,116,0,after,0
CVE-2017-15670,>Overflow<,https://sourceware.org/bugzilla/show_bug.cgi?id=22320,c369d66e5426a30e4725b100d5cd28e372754f90,nscd/netgroupcache.c,665,678,0,after,0
CVE-2017-16997,>File inclusion<,https://sourceware.org/bugzilla/show_bug.cgi?id=22625,3e3c904daef69b8bf7d5cc07f793c9f07c3553ef,string/strxfrm_l.c,\N,\N,1,after,0
CVE-2017-17426,>Overflow<,https://sourceware.org/bugzilla/show_bug.cgi?id=22375,34697694e8a93b325b18f25f7dcded55d6baeaf6,resolv/nss_dns/dns-network.c,\N,\N,2,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_init.c,587,607,1,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_send.c,\N,\N,2,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_send.c,\N,\N,2,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_init.c,\N,\N,2,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_init.c,150,463,1,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_send.c,135,144,0,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_send.c,159,166,0,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_send.c,129,133,0,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_send.c,168,176,0,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_send.c,146,157,0,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_init.c,608,614,0,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_send.c,288,342,0,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_send.c,288,342,0,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_send.c,288,342,0,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_init.c,\N,\N,2,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_send.c,921,998,1,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_send.c,215,249,1,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_init.c,\N,\N,2,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_send.c,1000,1438,0,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_send.c,641,919,2,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,5460617d1567657621107d895ee2dd83bc1f88f2,resolv/res_send.c,1480,1502,0,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,3bad2358d67d371497079bba4f8eca9c0096f4e2,time/strftime_l.c,\N,\N,2,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,3bad2358d67d371497079bba4f8eca9c0096f4e2,time/strftime_l.c,\N,\N,2,after,0
CVE-2018-11236,>Overflow<>Memory Corruption<,https://sourceware.org/bugzilla/show_bug.cgi?id=22786,3bad2358d67d371497079bba4f8eca9c0096f4e2,time/strftime_l.c,368,389,0,after,0
